URL,Заголовок H1,Местоположение,Текст Aside,Текст Section,Текст Relative Section
https://karbonhq.com/practicemarketplace/seller/NUir1qJfV,"Outsourced Accounting for UK-Based Recruitment Agencies, Sector Specialists",United Kingdom,"COMPANY INFO

Work Mode

Hybrid

Offices

3

FTEs

11-20

No. of Partners

1

Employees

11-20

Percentage of Employees Outsourced

0-20%

MAIN LOCATION

Based in

United Kingdom","PROFILE

Revenue

$500k-1M

20-30%

Growth Rate

Services

Tax Return

1%

Tax Advisory

0%

Bookkeeping

97%

PRIMARY REVENUE SOURCE

Audit

0%

Financial Consulting

2%

Tax Return Split in Revenue

99%
1%
BUSINESS
PERSONAL

Bookkeeping Software

100% cloud based

Fee Structure

Mostly fixed fee

Recurring Billing

80-100%

Age of Firm

5-10 years old

What is the state of your firm, technology wise today?

Progressive

We use all cloud technology and our team is equipped to work remotely","A FEW WORDS FROM THE OWNER
""Culture fit is the most important thing for us.  They need to get on with our clients.  ""
QUESTIONNAIRE

Seller Intent

Planning to sell in the next 18 months

What is your #1 reason for selling?

Quieter life with my young family

What is most important to you when selling?

A good place for your employees to go

How do you envision your life, post sale?

I would be happy to support with some handover but I wouldn't want to work long term for the business."
,,,,,
https://karbonhq.com/practicemarketplace/seller/SFjRjKHCy,"Tech-driven firm with loyal clients, growth potential, and two offices to merge","California, United States","COMPANY INFO

Work Mode

Hybrid

Offices

2

FTEs

11-20

No. of Partners

1

Employees

11-20

Percentage of Employees Outsourced

0-20%

MAIN LOCATION

Based in

United States

State

California","PROFILE

Revenue

$1-2M

0-10%

Growth Rate

Services

Tax Return

21%

Tax Advisory

5%

Bookkeeping

42%

PRIMARY REVENUE SOURCE

Audit

32%

Financial Consulting

0%

Tax Return Split in Revenue

60%
40%
BUSINESS
PERSONAL

Bookkeeping Software

Mostly desktop based

Fee Structure

Mostly fixed fee

Recurring Billing

0-20%

Age of Firm

5-10 years old

What is the state of your firm, technology wise today?

Moderate

We use a mix of cloud based and desktop based software","A FEW WORDS FROM THE OWNER
""Want to sell to a buyer who is willing to do the employees right.  Continue the culture of a place where employees enjoy their jobs, enjoy the benefits our firm has established and ultimately, provide quality service to the clients we serve.  ""
QUESTIONNAIRE

Seller Intent

Actively looking to sell now

What is your #1 reason for selling?

Ready to transition to a new phase of life, out of public accounting, and move out-of-state

What is most important to you when selling?

A good place for your employees to go

How do you envision your life, post sale?

Willing to stick around for 3-6 months to assist transition, then moving forward in a different career path with a move out-of-state."
,,,,,
https://karbonhq.com/practicemarketplace/seller/mtd0yEYj8,Tech-enabled remote firm seeking partnership with like-minded firms,"South Australia, Australia","COMPANY INFO

Work Mode

Remote

Offices

0

FTEs

11-20

No. of Partners

1

Employees

11-20

Percentage of Employees Outsourced

80-100%

MAIN LOCATION

Based in

Australia

State

South Australia","PROFILE

Revenue

$1-2M

10-20%

Growth Rate

Services

Tax Return

60%

PRIMARY REVENUE SOURCE

Tax Advisory

20%

Bookkeeping

10%

Audit

0%

Financial Consulting

10%

Tax Return Split in Revenue

90%
10%
BUSINESS
PERSONAL

Bookkeeping Software

100% cloud based

Fee Structure

Mix of fixed fee and hourly

Recurring Billing

80-100%

Age of Firm

10-15 years old

What is the state of your firm, technology wise today?

Progressive

We use all cloud technology and our team is equipped to work remotely","A FEW WORDS FROM THE OWNER
""-""
QUESTIONNAIRE

Seller Intent

Planning to sell in the next 18 months

What is your #1 reason for selling?

Refocus energies on further growth

What is most important to you when selling?

Ability for me to have a more exciting career with people around me

How do you envision your life, post sale?

Focusing on BDM work"
,,,,,
https://karbonhq.com/practicemarketplace/seller/yDCLQv7eB,Australian firm focused on simplifying business growth,"Victoria, Australia","COMPANY INFO

Work Mode

Hybrid

Offices

1

FTEs

1-3

No. of Partners

1

Employees

1-3

Percentage of Employees Outsourced

20-40%

MAIN LOCATION

Based in

Australia

State

Victoria","PROFILE

Revenue

$0-500k

0-10%

Growth Rate

Services

Tax Return

80%

PRIMARY REVENUE SOURCE

Tax Advisory

20%

Bookkeeping

0%

Audit

0%

Financial Consulting

0%

Tax Return Split in Revenue

80%
20%
BUSINESS
PERSONAL

Bookkeeping Software

100% cloud based

Fee Structure

Mostly fixed fee

Recurring Billing

60-80%

Age of Firm

10-15 years old

What is the state of your firm, technology wise today?

Progressive

We use all cloud technology and our team is equipped to work remotely","A FEW WORDS FROM THE OWNER
""Small team with opportunity to grow further.  We are primarily Quickbooks and LodgeIt based, but work with all accounting software.""
QUESTIONNAIRE

Seller Intent

Planning to sell in the next 18 months

What is your #1 reason for selling?

..

What is most important to you when selling?

Ability for me to have a more exciting career with people around me

How do you envision your life, post sale?

Remain active in business services, mentoring and consulting."
,,,,,
https://karbonhq.com/practicemarketplace/seller/HIFgVN1F1,"Remote firm serving global clients, focusing on Ohio, Texas & Florida","Idaho, United States","COMPANY INFO

Work Mode

Remote

Offices

0

FTEs

4-10

No. of Partners

1

Employees

4-10

Percentage of Employees Outsourced

0-20%

MAIN LOCATION

Based in

United States

State

Idaho","PROFILE

Revenue

$500k-1M

10-20%

Growth Rate

Services

Tax Return

42%

PRIMARY REVENUE SOURCE

Tax Advisory

28%

Bookkeeping

30%

Audit

0%

Financial Consulting

0%

Tax Return Split in Revenue

80%
20%
BUSINESS
PERSONAL

Bookkeeping Software

100% cloud based

Fee Structure

Mix of fixed fee and hourly

Recurring Billing

40-60%

Age of Firm

5-10 years old

What is the state of your firm, technology wise today?

Progressive

We use all cloud technology and our team is equipped to work remotely","A FEW WORDS FROM THE OWNER
""I'm looking for someone that looks at tax planning and educating clients on tax savings practices. ""
QUESTIONNAIRE

Seller Intent

Planning to sell in 18 months to 5 years

What is your #1 reason for selling?

I'm ready to retire from the public accounting firm. 

What is most important to you when selling?

Maximum dollar value

How do you envision your life, post sale?

I want to retire as soon as possible but am willing to remain on, part time as a consultant and to help with client relationship transitions."
,,,,,
